record_no	exploratory	EP_PlotID	plant_genus	plant_species	no_inflorescences	inflorescences_qcm	sub_plot	survey	date	last_mowing
1400	Hainich	HEG17	Leontodon	Leontodon autumnalis	8	24	realistic	3	8/27/2008 12:00:00 AM	
1401	Hainich	HEG17	Leontodon	Leontodon autumnalis	1	3	succession	3	8/27/2008 12:00:00 AM	
1402	Hainich	HEG17	Lotus	Lotus corniculatus	25	25	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1403	Hainich	HEG17	Lotus	Lotus corniculatus	158	158	realistic	3	8/27/2008 12:00:00 AM	
1404	Hainich	HEG17	Lotus	Lotus corniculatus	5	5	succession	3	8/27/2008 12:00:00 AM	
1405	Hainich	HEG17	Odontites	Odontites vulgaris	10	3	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1406	Hainich	HEG17	Odontites	Odontites vulgaris	120	40	realistic	3	8/27/2008 12:00:00 AM	
1407	Hainich	HEG17	Odontites	Odontites vulgaris	188	63	succession	3	8/27/2008 12:00:00 AM	
1408	Hainich	HEG17	Pimpinella	Pimpinella saxifraga	50	4	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1409	Hainich	HEG17	Pimpinella	Pimpinella saxifraga	1000	83	realistic	3	8/27/2008 12:00:00 AM	
1410	Hainich	HEG17	Pimpinella	Pimpinella saxifraga	1350	113	succession	3	8/27/2008 12:00:00 AM	
1411	Hainich	HEG17	Trifolium	Trifolium pratense	5	10	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1412	Hainich	HEG19	Achillea	Achillea millefolium	4	1	managed	1	6/1/2008 12:00:00 AM	
1413	Hainich	HEG19	Achillea	Achillea millefolium	10	2	realistic	1	6/1/2008 12:00:00 AM	
1414	Hainich	HEG19	Achillea	Achillea millefolium	35	6	succession	1	6/1/2008 12:00:00 AM	
1415	Hainich	HEG19	Cerastium	Cerastium holosteoides	40	8	managed	1	6/1/2008 12:00:00 AM	
1416	Hainich	HEG19	Ranunculus	Ranunculus acris	210	210	managed	1	6/1/2008 12:00:00 AM	
1417	Hainich	HEG19	Ranunculus	Ranunculus acris	95	95	realistic	1	6/1/2008 12:00:00 AM	
1418	Hainich	HEG19	Ranunculus	Ranunculus acris	165	165	succession	1	6/1/2008 12:00:00 AM	
1419	Hainich	HEG19	Ranunculus	Ranunculus spec.	42	42	managed	1	6/1/2008 12:00:00 AM	
1420	Hainich	HEG19	Ranunculus	Ranunculus spec.	40	40	realistic	1	6/1/2008 12:00:00 AM	
1421	Hainich	HEG19	Trifolium	Trifolium pratense	120	240	managed	1	6/1/2008 12:00:00 AM	
1422	Hainich	HEG19	Trifolium	Trifolium pratense	75	150	realistic	1	6/1/2008 12:00:00 AM	
1423	Hainich	HEG19	Trifolium	Trifolium pratense	140	280	succession	1	6/1/2008 12:00:00 AM	
1424	Hainich	HEG19	Veronica	Veronica chamaedrys	30	8	realistic	1	6/1/2008 12:00:00 AM	
1425	Hainich	HEG19	Vicia	Vicia sepium	78	78	managed	1	6/1/2008 12:00:00 AM	
1426	Hainich	HEG19	Vicia	Vicia sepium	95	95	realistic	1	6/1/2008 12:00:00 AM	
1427	Hainich	HEG19	Vicia	Vicia sepium	60	60	succession	1	6/1/2008 12:00:00 AM	
1428	Hainich	HEG19	Achillea	Achillea millefolium	300	50	realistic	2	8/1/2008 12:00:00 AM	
1429	Hainich	HEG19	Agrimonia	Agrimonia eupatoria	8	4	realistic	2	8/1/2008 12:00:00 AM	
1430	Hainich	HEG19	Carum	Carum carvi	70	8	succession	2	8/1/2008 12:00:00 AM	
1431	Hainich	HEG19	Centaurea	Centaurea jacea	2	8	realistic	2	8/1/2008 12:00:00 AM	
1432	Hainich	HEG19	Centaurea	Centaurea jacea	8	32	succession	2	8/1/2008 12:00:00 AM	
1433	Hainich	HEG19	Daucus	Daucus carota	200	17	succession	2	8/1/2008 12:00:00 AM	
1434	Hainich	HEG19	Lotus	Lotus corniculatus	6	6	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1435	Hainich	HEG19	Pastinaca	Pastinaca sativa	500	42	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1436	Hainich	HEG19	Pastinaca	Pastinaca sativa	500	42	realistic	2	8/1/2008 12:00:00 AM	
1437	Hainich	HEG19	Pastinaca	Pastinaca sativa	500	42	succession	2	8/1/2008 12:00:00 AM	
1438	Hainich	HEG19	Silaum	Silaum silaus	2	1	succession	2	8/1/2008 12:00:00 AM	
1439	Hainich	HEG19	Achillea	Achillea millefolium	100	17	realistic	3	8/27/2008 12:00:00 AM	
1440	Hainich	HEG19	Agrimonia	Agrimonia eupatoria	4	2	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1441	Hainich	HEG19	Agrimonia	Agrimonia eupatoria	5	3	realistic	3	8/27/2008 12:00:00 AM	
1442	Hainich	HEG19	Colchicum	Colchicum autumnale	3	12	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1443	Hainich	HEG19	Colchicum	Colchicum autumnale	5	20	realistic	3	8/27/2008 12:00:00 AM	
1444	Hainich	HEG19	Colchicum	Colchicum autumnale	6	24	succession	3	8/27/2008 12:00:00 AM	
1445	Hainich	HEG19	Daucus	Daucus carota	250	21	succession	3	8/27/2008 12:00:00 AM	
1446	Hainich	HEG19	Leontodon	Leontodon autumnalis	3	9	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1447	Hainich	HEG19	Leontodon	Leontodon autumnalis	3	9	succession	3	8/27/2008 12:00:00 AM	
1448	Hainich	HEG19	Lotus	Lotus corniculatus	9	9	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1449	Hainich	HEG19	Odontites	Odontites vulgaris	65	22	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1450	Hainich	HEG19	Odontites	Odontites vulgaris	700	233	realistic	3	8/27/2008 12:00:00 AM	
1451	Hainich	HEG19	Odontites	Odontites vulgaris	320	107	succession	3	8/27/2008 12:00:00 AM	
1452	Hainich	HEG19	Pimpinella	Pimpinella saxifraga	1200	100	managed	3	8/27/2008 12:00:00 AM	8/6/2008
1453	Hainich	HEG19	Pimpinella	Pimpinella saxifraga	300	25	succession	3	8/27/2008 12:00:00 AM	
1454	Hainich	HEG19	Silaum	Silaum silaus	30	3	realistic	3	8/27/2008 12:00:00 AM	
1455	Hainich	HEG19	Ranunculus		22	22	succession	1	6/1/2008 12:00:00 AM	
1456	Hainich	HEG2			0	0	realistic	2	7/17/2008 12:00:00 AM	
1457	Hainich	HEG2	Trifolium	Trifolium repens	440	880	managed	1	5/31/2008 12:00:00 AM	
1458	Hainich	HEG2	Trifolium	Trifolium repens	120	240	succession	1	5/31/2008 12:00:00 AM	
1459	Hainich	HEG2	Achillea	Achillea millefolium	2000	334	succession	2	7/17/2008 12:00:00 AM	
1460	Hainich	HEG2	Crepis	Crepis biennis	230	460	managed	2	7/17/2008 12:00:00 AM	30.05.2008-08.06.2008
1461	Hainich	HEG2	Crepis	Crepis biennis	31	62	succession	2	7/17/2008 12:00:00 AM	
1462	Hainich	HEG2	Daucus	Daucus carota	600	50	managed	2	7/17/2008 12:00:00 AM	30.05.2008-08.06.2008
1463	Hainich	HEG2	Daucus	Daucus carota	200	17	succession	2	7/17/2008 12:00:00 AM	
1464	Hainich	HEG2	Trifolium	Trifolium repens	33	66	managed	2	7/17/2008 12:00:00 AM	30.05.2008-08.06.2008
1465	Hainich	HEG2	Tripleurospermum	Tripleurospermum perforatum	4	12	managed	2	7/17/2008 12:00:00 AM	30.05.2008-08.06.2008
1466	Hainich	HEG2	Tripleurospermum	Tripleurospermum perforatum	10	30	succession	2	7/17/2008 12:00:00 AM	
1467	Hainich	HEG2	Achillea	Achillea millefolium	100	17	realistic	3	8/30/2008 12:00:00 AM	
1468	Hainich	HEG2	Achillea	Achillea millefolium	2500	417	succession	3	8/30/2008 12:00:00 AM	
1469	Hainich	HEG2	Centaurea	Centaurea jacea	3	12	realistic	3	8/30/2008 12:00:00 AM	
1470	Hainich	HEG2	Crepis	Crepis biennis	6	12	realistic	3	8/30/2008 12:00:00 AM	
1471	Hainich	HEG2	Crepis	Crepis biennis	11	22	succession	3	8/30/2008 12:00:00 AM	
1472	Hainich	HEG2	Daucus	Daucus carota	850	71	realistic	3	8/30/2008 12:00:00 AM	
1473	Hainich	HEG2	Trifolium	Trifolium repens	7	14	managed	3	8/30/2008 12:00:00 AM	8/5/2008
1474	Hainich	HEG2	Tripleurospermum	Tripleurospermum perforatum	2	6	managed	3	8/30/2008 12:00:00 AM	8/5/2008
1475	Hainich	HEG2	Tripleurospermum	Tripleurospermum perforatum	1	3	realistic	3	8/30/2008 12:00:00 AM	
1476	Hainich	HEG2	Tripleurospermum	Tripleurospermum perforatum	3	9	succession	3	8/30/2008 12:00:00 AM	
1477	Hainich	HEG2	Cerastium		10	2	managed	1	5/31/2008 12:00:00 AM	
1478	Hainich	HEG2	Cerastium		5	1	succession	1	5/31/2008 12:00:00 AM	
1479	Hainich	HEG2	Ranunculus		36	36	realistic	1	5/31/2008 12:00:00 AM	
1480	Hainich	HEG2	Ranunculus		95	95	succession	1	5/31/2008 12:00:00 AM	
1481	Hainich	HEG21	Anthriscus	Anthriscus sylvestris	2500	278	succession	1	6/3/2008 12:00:00 AM	
1482	Hainich	HEG21	Trifolium	Trifolium campestre	5300	1325	managed	1	6/3/2008 12:00:00 AM	
1483	Hainich	HEG21	Trifolium	Trifolium campestre	3200	800	realistic	1	6/3/2008 12:00:00 AM	
1484	Hainich	HEG21	Trifolium	Trifolium campestre	1200	300	succession	1	6/3/2008 12:00:00 AM	
1485	Hainich	HEG21	Vicia	Vicia tetrasperma	25	4	managed	1	6/3/2008 12:00:00 AM	
1486	Hainich	HEG21	Vicia	Vicia tetrasperma	3	1	realistic	1	6/3/2008 12:00:00 AM	
1487	Hainich	HEG21	Vicia	Vicia tetrasperma	34	6	succession	1	6/3/2008 12:00:00 AM	
1488	Hainich	HEG21	Agrimonia	Agrimonia eupatoria	8	4	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1489	Hainich	HEG21	Campanula	Campanula rotundifolia	8	12	succession	2	8/1/2008 12:00:00 AM	
1490	Hainich	HEG21	Convolvulus	Convolvulus arvensis	2	6	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1491	Hainich	HEG21	Convolvulus	Convolvulus arvensis	3	9	succession	2	8/1/2008 12:00:00 AM	
1492	Hainich	HEG21	Daucus	Daucus carota	300	25	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1493	Hainich	HEG21	Daucus	Daucus carota	500	42	realistic	2	8/1/2008 12:00:00 AM	
1494	Hainich	HEG21	Daucus	Daucus carota	200	17	succession	2	8/1/2008 12:00:00 AM	
1495	Hainich	HEG21	Galium	Galium verum	50	6	succession	2	8/1/2008 12:00:00 AM	
1496	Hainich	HEG21	Knautia	Knautia arvensis	11	44	succession	2	8/1/2008 12:00:00 AM	
1497	Hainich	HEG21	Leucanthemum	Leucanthemum vulgare agg.	5	20	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1498	Hainich	HEG21	Leucanthemum	Leucanthemum vulgare agg.	2	8	realistic	2	8/1/2008 12:00:00 AM	
1499	Hainich	HEG21	Lotus	Lotus corniculatus	7	7	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1500	Hainich	HEG21	Ononis	Ononis spinosa	4	8	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1501	Hainich	HEG21	Ononis	Ononis spinosa	2	4	realistic	2	8/1/2008 12:00:00 AM	
1502	Hainich	HEG21	Ononis	Ononis spinosa	30	60	succession	2	8/1/2008 12:00:00 AM	
1503	Hainich	HEG21	Picris	Picris hieracioides	1	2	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1504	Hainich	HEG21	Picris	Picris hieracioides	13	26	realistic	2	8/1/2008 12:00:00 AM	
1505	Hainich	HEG21	Picris	Picris hieracioides	3	6	succession	2	8/1/2008 12:00:00 AM	
1506	Hainich	HEG21	Plantago	Plantago lanceolata	11	22	managed	2	8/1/2008 12:00:00 AM	08.07.2008
1507	Hainich	HEG21	Vicia	Vicia cracca	5	5	succession	2	8/1/2008 12:00:00 AM	
1508	Hainich	HEG21	Daucus	Daucus carota	60	5	succession	3	8/28/2008 12:00:00 AM	
1509	Hainich	HEG21	Ononis	Ononis spinosa	20	40	realistic	3	8/28/2008 12:00:00 AM	
1510	Hainich	HEG21	Ononis	Ononis spinosa	80	160	succession	3	8/28/2008 12:00:00 AM	
1511	Hainich	HEG21	Pimpinella	Pimpinella saxifraga	120	10	managed	3	8/28/2008 12:00:00 AM	8/6/2008
1512	Hainich	HEG21	Pimpinella	Pimpinella saxifraga	90	8	realistic	3	8/28/2008 12:00:00 AM	
1513	Hainich	HEG21	Pimpinella	Pimpinella saxifraga	330	28	succession	3	8/28/2008 12:00:00 AM	
1514	Hainich	HEG21	Senecio	Senecio jacobaea	2	4	realistic	3	8/28/2008 12:00:00 AM	
1515	Hainich	HEG21	Ranunculus		2	2	managed	1	6/3/2008 12:00:00 AM	
1516	Hainich	HEG21	Ranunculus		3	3	realistic	1	6/3/2008 12:00:00 AM	
1517	Hainich	HEG21	Ranunculus		4	4	succession	1	6/3/2008 12:00:00 AM	
1518	Hainich	HEG24			0	0	realistic	1	6/7/2008 12:00:00 AM	
1519	Hainich	HEG24	Anthriscus	Anthriscus sylvestris	2400	267	managed	1	6/7/2008 12:00:00 AM	
1520	Hainich	HEG24	Anthriscus	Anthriscus sylvestris	2400	267	succession	1	6/7/2008 12:00:00 AM	
1521	Hainich	HEG24	Galium	Galium mollugo agg.	360	40	managed	1	6/7/2008 12:00:00 AM	
1522	Hainich	HEG24	Galium	Galium mollugo agg.	288	32	succession	1	6/7/2008 12:00:00 AM	
1523	Hainich	HEG24	Trifolium	Trifolium pratense	40	80	managed	1	6/7/2008 12:00:00 AM	
1524	Hainich	HEG24	Trifolium	Trifolium pratense	180	360	succession	1	6/7/2008 12:00:00 AM	
1525	Hainich	HEG24	Anthriscus	Anthriscus sylvestris	69000	7667	managed	2	7/20/2008 12:00:00 AM	30.05.2008-08.06.2008
1526	Hainich	HEG24	Anthriscus	Anthriscus sylvestris	15000	1667	realistic	2	7/20/2008 12:00:00 AM	
1527	Hainich	HEG24	Anthriscus	Anthriscus sylvestris	30000	3333	succession	2	7/20/2008 12:00:00 AM	
1528	Hainich	HEG24	Arctium	Arctium tomentosum	300	450	managed	2	7/20/2008 12:00:00 AM	30.05.2008-08.06.2008
1529	Hainich	HEG24	Arctium	Arctium tomentosum	180	270	realistic	2	7/20/2008 12:00:00 AM	
1530	Hainich	HEG24	Arctium	Arctium tomentosum	190	285	succession	2	7/20/2008 12:00:00 AM	
1531	Hainich	HEG24	Cichorium	Cichorium intybus	65	260	succession	2	7/20/2008 12:00:00 AM	
1532	Hainich	HEG24	Crepis	Crepis biennis	70	140	managed	2	7/20/2008 12:00:00 AM	30.05.2008-08.06.2008
1533	Hainich	HEG24	Crepis	Crepis biennis	60	120	realistic	2	7/20/2008 12:00:00 AM	
1534	Hainich	HEG24	Crepis	Crepis biennis	120	240	succession	2	7/20/2008 12:00:00 AM	
1535	Hainich	HEG24	Galium	Galium mollugo agg.	70	8	managed	2	7/20/2008 12:00:00 AM	30.05.2008-08.06.2008
1536	Hainich	HEG24	Galium	Galium mollugo agg.	5000	556	realistic	2	7/20/2008 12:00:00 AM	
1537	Hainich	HEG24	Heracleum	Heracleum sphondylium	300	33	realistic	2	7/20/2008 12:00:00 AM	
1538	Hainich	HEG24	Pimpinella	Pimpinella major	7800	650	succession	2	7/20/2008 12:00:00 AM	
1539	Hainich	HEG24	Trifolium	Trifolium pratense	7	14	managed	2	7/20/2008 12:00:00 AM	30.05.2008-08.06.2008
1540	Hainich	HEG24	Trifolium	Trifolium pratense	60	120	realistic	2	7/20/2008 12:00:00 AM	
1541	Hainich	HEG24	Trifolium	Trifolium pratense	90	180	succession	2	7/20/2008 12:00:00 AM	
1542	Hainich	HEG24	Cichorium	Cichorium intybus	7	28	succession	3	8/31/2008 12:00:00 AM	
1543	Hainich	HEG24	Crepis	Crepis biennis	47	94	managed	3	8/31/2008 12:00:00 AM	8/4/2008
1544	Hainich	HEG24	Crepis	Crepis biennis	50	100	realistic	3	8/31/2008 12:00:00 AM	
1545	Hainich	HEG24	Crepis	Crepis biennis	26	52	succession	3	8/31/2008 12:00:00 AM	
1546	Hainich	HEG24	Daucus	Daucus carota	100	8	succession	3	8/31/2008 12:00:00 AM	
1547	Hainich	HEG24	Plantago	Plantago lanceolata	11	22	managed	3	8/31/2008 12:00:00 AM	8/4/2008
1548	Hainich	HEG24	Plantago	Plantago lanceolata	14	28	realistic	3	8/31/2008 12:00:00 AM	
1549	Hainich	HEG24	Plantago	Plantago lanceolata	14	28	succession	3	8/31/2008 12:00:00 AM	
1550	Hainich	HEG24	Trifolium	Trifolium pratense	2	4	managed	3	8/31/2008 12:00:00 AM	8/4/2008
1551	Hainich	HEG24	Trifolium	Trifolium pratense	13	26	succession	3	8/31/2008 12:00:00 AM	
1552	Hainich	HEG24	Ranunculus		65	130	managed	1	6/7/2008 12:00:00 AM	
1553	Hainich	HEG24	Ranunculus		60	60	succession	1	6/7/2008 12:00:00 AM	
1554	Hainich	HEG26			0	0	managed	3	8/24/2008 12:00:00 AM	8/7/2008
1555	Hainich	HEG26	Anthriscus	Anthriscus sylvestris	120	13	managed	1	6/5/2008 12:00:00 AM	
1556	Hainich	HEG26	Anthriscus	Anthriscus sylvestris	168	19	realistic	1	6/5/2008 12:00:00 AM	
1557	Hainich	HEG26	Anthriscus	Anthriscus sylvestris	168	19	succession	1	6/5/2008 12:00:00 AM	
1558	Hainich	HEG26	Galium	Galium mollugo agg.	600	67	realistic	1	6/5/2008 12:00:00 AM	
1559	Hainich	HEG26	Trifolium	Trifolium pratense	9	18	managed	1	6/5/2008 12:00:00 AM	
1560	Hainich	HEG26	Trifolium	Trifolium pratense	25	50	succession	1	6/5/2008 12:00:00 AM	
1561	Hainich	HEG26	Convolvulus	Convolvulus arvensis	7	21	succession	2	7/14/2008 12:00:00 AM	
1562	Hainich	HEG26	Crepis	Crepis biennis	9	18	managed	2	7/14/2008 12:00:00 AM	30.05.2008-08.06.2008
1563	Hainich	HEG26	Crepis	Crepis biennis	6	12	realistic	2	7/14/2008 12:00:00 AM	
1564	Hainich	HEG26	Hieracium	Hieracium pilosella	1	2	succession	3	8/24/2008 12:00:00 AM	
1565	Hainich	HEG26	Trifolium	Trifolium pratense	1	2	realistic	3	8/24/2008 12:00:00 AM	
1566	Hainich	HEG27			0	0	managed	3	8/28/2008 12:00:00 AM	8/6/2008
1567	Hainich	HEG27	Cerastium	Cerastium holosteoides	10	2	managed	1	6/1/2008 12:00:00 AM	not yet
1568	Hainich	HEG27	Cerastium	Cerastium holosteoides	30	6	realistic	1	6/1/2008 12:00:00 AM	
1569	Hainich	HEG27	Cerastium	Cerastium holosteoides	6	1	succession	1	6/1/2008 12:00:00 AM	
1570	Hainich	HEG27	Cruciata	Cruciata laevipes	6000	500	succession	1	6/1/2008 12:00:00 AM	
1571	Hainich	HEG27	Galium	Galium mollugo agg.	300	33	managed	1	6/1/2008 12:00:00 AM	not yet
1572	Hainich	HEG27	Galium	Galium mollugo agg.	40	4	realistic	1	6/1/2008 12:00:00 AM	
1573	Hainich	HEG27	Galium	Galium mollugo agg.	280	31	succession	1	6/1/2008 12:00:00 AM	
1574	Hainich	HEG27	Trifolium	Trifolium campestre	280	70	managed	1	6/1/2008 12:00:00 AM	not yet
1575	Hainich	HEG27	Trifolium	Trifolium campestre	40	10	realistic	1	6/1/2008 12:00:00 AM	
1576	Hainich	HEG27	Trifolium	Trifolium campestre	400	100	succession	1	6/1/2008 12:00:00 AM	
1577	Hainich	HEG27	Veronica	Veronica chamaedrys	20	5	realistic	1	6/1/2008 12:00:00 AM	
1578	Hainich	HEG27	Veronica	Veronica chamaedrys	20	5	succession	1	6/1/2008 12:00:00 AM	
1579	Hainich	HEG27	Achillea	Achillea millefolium	450	75	succession	2	7/19/2008 12:00:00 AM	
1580	Hainich	HEG27	Agrimonia	Agrimonia eupatoria	6	3	managed	2	7/19/2008 12:00:00 AM	18.06.2008?
1581	Hainich	HEG27	Anthriscus	Anthriscus sylvestris	200	22	managed	2	7/19/2008 12:00:00 AM	18.06.2008?
1582	Hainich	HEG27	Cerastium	Cerastium holosteoides	4	1	managed	2	7/19/2008 12:00:00 AM	18.06.2008?
1583	Hainich	HEG27	Convolvulus	Convolvulus arvensis	5	15	managed	2	7/19/2008 12:00:00 AM	18.06.2008?
1584	Hainich	HEG27	Convolvulus	Convolvulus arvensis	16	48	succession	2	7/19/2008 12:00:00 AM	
1585	Hainich	HEG27	Crepis	Crepis biennis	1	2	managed	2	7/19/2008 12:00:00 AM	18.06.2008?
1586	Hainich	HEG27	Crepis	Crepis biennis	50	100	realistic	2	7/19/2008 12:00:00 AM	
1587	Hainich	HEG27	Galium	Galium mollugo agg.	80	9	managed	2	7/19/2008 12:00:00 AM	18.06.2008?
1588	Hainich	HEG27	Galium	Galium mollugo agg.	520	58	realistic	2	7/19/2008 12:00:00 AM	
1589	Hainich	HEG27	Galium	Galium mollugo agg.	160	18	succession	2	7/19/2008 12:00:00 AM	
1590	Hainich	HEG27	Vicia	Vicia cracca	15	15	succession	2	7/19/2008 12:00:00 AM	
1591	Hainich	HEG27	Achillea	Achillea millefolium	100	11	realistic	3	8/28/2008 12:00:00 AM	
1592	Hainich	HEG27	Achillea	Achillea millefolium	350	39	succession	3	8/28/2008 12:00:00 AM	
1593	Hainich	HEG27	Galium	Galium mollugo agg.	40	4	realistic	3	8/28/2008 12:00:00 AM	
1594	Hainich	HEG27	Pimpinella	Pimpinella saxifraga	990	83	realistic	3	8/28/2008 12:00:00 AM	
1595	Hainich	HEG29			0	0	managed	1	6/8/2008 12:00:00 AM	
1596	Hainich	HEG29			0	0	realistic	1	6/8/2008 12:00:00 AM	
1597	Hainich	HEG29	Lotus	Lotus corniculatus	8	8	succession	1	6/8/2008 12:00:00 AM	
1598	Hainich	HEG29	Trifolium	Trifolium pratense	3	6	succession	1	6/8/2008 12:00:00 AM	
1599	Hainich	HEG29	Achillea	Achillea millefolium	150	25	succession	2	7/23/2008 12:00:00 AM	
1600	Hainich	HEG29	Agrimonia	Agrimonia eupatoria	26	13	managed	2	7/23/2008 12:00:00 AM	30.05.2008-08.06.2008
1601	Hainich	HEG29	Agrimonia	Agrimonia eupatoria	30	15	realistic	2	7/23/2008 12:00:00 AM	
1602	Hainich	HEG29	Crepis	Crepis biennis	100	200	managed	2	7/23/2008 12:00:00 AM	30.05.2008-08.06.2008
1603	Hainich	HEG29	Crepis	Crepis biennis	10	20	realistic	2	7/23/2008 12:00:00 AM	
1604	Hainich	HEG29	Crepis	Crepis biennis	40	80	succession	2	7/23/2008 12:00:00 AM	
1605	Hainich	HEG29	Daucus	Daucus carota	3500	292	managed	2	7/23/2008 12:00:00 AM	30.05.2008-08.06.2008
1606	Hainich	HEG29	Daucus	Daucus carota	1600	133	realistic	2	7/23/2008 12:00:00 AM	
1607	Hainich	HEG29	Daucus	Daucus carota	1250	104	succession	2	7/23/2008 12:00:00 AM	
1608	Hainich	HEG29	Galium	Galium mollugo agg.	400	44	realistic	2	7/23/2008 12:00:00 AM	
1609	Hainich	HEG29	Galium	Galium mollugo agg.	200	22	succession	2	7/23/2008 12:00:00 AM	
1610	Hainich	HEG29	Lotus	Lotus corniculatus	30	30	managed	2	7/23/2008 12:00:00 AM	30.05.2008-08.06.2008
1611	Hainich	HEG29	Lotus	Lotus corniculatus	3	3	succession	2	7/23/2008 12:00:00 AM	
1612	Hainich	HEG29	Prunella	Prunella vulgaris	15	8	realistic	2	7/23/2008 12:00:00 AM	
1613	Hainich	HEG29	Prunella	Prunella vulgaris	190	95	succession	2	7/23/2008 12:00:00 AM	
1614	Hainich	HEG29	Trifolium	Trifolium pratense	3	6	managed	2	7/23/2008 12:00:00 AM	30.05.2008-08.06.2008
1615	Hainich	HEG29	Trifolium	Trifolium pratense	36	72	succession	2	7/23/2008 12:00:00 AM	
1616	Hainich	HEG29	Tripleurospermum	Tripleurospermum perforatum	10	30	succession	2	7/23/2008 12:00:00 AM	
1617	Hainich	HEG29	Achillea	Achillea millefolium	1000	167	realistic	3	8/26/2008 12:00:00 AM	
1618	Hainich	HEG29	Achillea	Achillea millefolium	1100	183	succession	3	8/26/2008 12:00:00 AM	
1619	Hainich	HEG29	Agrimonia	Agrimonia eupatoria	10	5	realistic	3	8/26/2008 12:00:00 AM	
1620	Hainich	HEG29	Carlina	Carlina vulgaris	4	40	managed	3	8/26/2008 12:00:00 AM	8/6/2008
1621	Hainich	HEG29	Cirsium	Cirsium eriophorum	3	9	realistic	3	8/26/2008 12:00:00 AM	
1622	Hainich	HEG29	Crepis	Crepis biennis	4	8	realistic	3	8/26/2008 12:00:00 AM	
1623	Hainich	HEG29	Crepis	Crepis biennis	69	138	succession	3	8/26/2008 12:00:00 AM	
1624	Hainich	HEG29	Daucus	Daucus carota	750	63	realistic	3	8/26/2008 12:00:00 AM	
1625	Hainich	HEG29	Daucus	Daucus carota	330	28	succession	3	8/26/2008 12:00:00 AM	
1626	Hainich	HEG29	Galium	Galium mollugo agg.	310	34	realistic	3	8/26/2008 12:00:00 AM	
1627	Hainich	HEG29	Lotus	Lotus corniculatus	4	4	succession	3	8/26/2008 12:00:00 AM	
1628	Hainich	HEG29	Odontites	Odontites vulgaris	80	40	realistic	3	8/26/2008 12:00:00 AM	
1629	Hainich	HEG29	Scabiosa	Scabiosa columbaria	3	12	realistic	3	8/26/2008 12:00:00 AM	
1630	Hainich	HEG29	Trifolium	Trifolium pratense	4	8	succession	3	8/26/2008 12:00:00 AM	
1631	Hainich	HEG29	Tripleurospermum	Tripleurospermum perforatum	18	54	succession	3	8/26/2008 12:00:00 AM	
1632	Hainich	HEG29	Senecio		30	60	managed	2	7/23/2008 12:00:00 AM	30.05.2008-08.06.2008
1633	Hainich	HEG3			0	0	managed	1	5/31/2008 12:00:00 AM	
1634	Hainich	HEG3			0	0	realistic	1	5/31/2008 12:00:00 AM	
1635	Hainich	HEG3			0	0	succession	1	5/31/2008 12:00:00 AM	
1636	Hainich	HEG3			0	0	managed	2	7/17/2008 12:00:00 AM	30.05.2008-08.06.2008
1637	Hainich	HEG3			0	0	realistic	2	7/17/2008 12:00:00 AM	
1638	Hainich	HEG3			0	0	succession	2	7/17/2008 12:00:00 AM	
1639	Hainich	HEG3			0	0	managed	3	8/30/2008 12:00:00 AM	8/5/2008
1640	Hainich	HEG3			0	0	realistic	3	8/30/2008 12:00:00 AM	
1641	Hainich	HEG3			0	0	succession	3	8/30/2008 12:00:00 AM	
1642	Hainich	HEG30	Anthriscus	Anthriscus sylvestris	360	40	managed	1	6/6/2008 12:00:00 AM	
1643	Hainich	HEG30	Anthriscus	Anthriscus sylvestris	144	16	succession	1	6/6/2008 12:00:00 AM	
1644	Hainich	HEG30	Trifolium	Trifolium campestre	250	63	succession	1	6/6/2008 12:00:00 AM	
1645	Hainich	HEG30	Trifolium	Trifolium pratense	163	326	managed	1	6/6/2008 12:00:00 AM	
1646	Hainich	HEG30	Trifolium	Trifolium pratense	180	380	succession	1	6/6/2008 12:00:00 AM	
1647	Hainich	HEG30	Trifolium	Trifolium repens	25	50	managed	1	6/6/2008 12:00:00 AM	
1648	Hainich	HEG30	Trifolium	Trifolium repens	150	300	realistic	1	6/6/2008 12:00:00 AM	
1649	Hainich	HEG30	Trifolium	Trifolium repens	20	40	succession	1	6/6/2008 12:00:00 AM	
1650	Hainich	HEG30	Achillea	Achillea millefolium	2000	333	managed	2	7/20/2008 12:00:00 AM	30.05.2008-08.06.2008
